ecoli,saureus
1.077198410034179688e+02,1.277438583374023438e+02
9.017757415771484375e+01,9.895202636718750000e+01
9.017757415771484375e+01,9.895202636718750000e+01
8.853847503662109375e+01,9.838491821289062500e+01
8.814827728271484375e+01,9.945625305175781250e+01
8.219718170166015625e+01,8.988882446289062500e+01
8.814827728271484375e+01,9.945625305175781250e+01
9.505908203125000000e+01,1.031414642333984375e+02
8.966964721679687500e+01,1.011964263916015625e+02
9.017757415771484375e+01,9.895202636718750000e+01
7.801497650146484375e+01,8.881730651855468750e+01
6.171327209472656250e+01,1.070774154663085938e+02
1.081353759765625000e+02,1.230267944335937500e+02
7.120796966552734375e+01,1.051526031494140625e+02
1.099048385620117188e+02,1.340504150390625000e+02
1.233395309448242188e+02,1.376811676025390625e+02
8.439630889892578125e+01,1.173092498779296875e+02
1.122570571899414062e+02,1.293265533447265625e+02
4.199986648559570312e+01,5.441949462890625000e+01
9.358473968505859375e+01,1.120613403320312500e+02
8.373874664306640625e+01,1.037162933349609375e+02
8.948432159423828125e+01,1.047371749877929688e+02
1.311120986938476562e+01,1.303810214996337891e+01
4.229333877563476562e+01,5.209080123901367188e+01
1.075292739868164062e+02,1.235677642822265625e+02
3.471493911743164062e+01,1.033779602050781250e+02
2.211255836486816406e+01,9.797799682617187500e+01
3.014193534851074219e+01,1.025456466674804688e+02
3.074266052246093750e+01,9.895603942871093750e+01
2.221197509765625000e+01,9.630553436279296875e+01
5.034271240234375000e+01,1.090623016357421875e+02
1.093966979980468750e+02,1.209240264892578125e+02
1.040573730468750000e+02,1.158561477661132812e+02
9.357024383544921875e+01,1.327591247558593750e+02
9.261145019531250000e+01,1.170116424560546875e+02
6.542187500000000000e+01,9.539831542968750000e+01
7.698828125000000000e+01,1.067784881591796875e+02
6.688475036621093750e+01,9.382889556884765625e+01
8.253795623779296875e+01,1.077940216064453125e+02
1.071326599121093750e+02,1.209814224243164062e+02
8.484272766113281250e+01,1.062527923583984375e+02
5.494288253784179688e+01,7.813554382324218750e+01
8.954811859130859375e+01,1.138131103515625000e+02
8.954811859130859375e+01,1.138131103515625000e+02
9.014177703857421875e+01,1.173253021240234375e+02
9.299518585205078125e+01,1.175969085693359375e+02
1.075891952514648438e+02,1.268540649414062500e+02
1.134122695922851562e+02,1.289823150634765625e+02
8.116567230224609375e+01,1.048317642211914062e+02
1.014028244018554688e+02,1.322959442138671875e+02
9.150881195068359375e+01,1.336196441650390625e+02
1.073667373657226562e+02,1.350245361328125000e+02
1.100301208496093750e+02,1.334201202392578125e+02
9.776131439208984375e+01,1.324762878417968750e+02
9.717351531982421875e+01,1.342232360839843750e+02
9.564450836181640625e+01,1.369638671875000000e+02
1.095435104370117188e+02,1.360467224121093750e+02
1.055993881225585938e+02,1.375529327392578125e+02
8.428073883056640625e+01,1.326386718750000000e+02
1.067511520385742188e+02,1.343916320800781250e+02
9.353680419921875000e+01,1.345040588378906250e+02
6.891824340820312500e+01,1.247749481201171875e+02
1.174325561523437500e+02,1.509974212646484375e+02
1.007518692016601562e+02,1.540149536132812500e+02
1.188589859008789062e+02,1.382622680664062500e+02
1.261997299194335938e+02,1.399736938476562500e+02
1.176310195922851562e+02,1.385065612792968750e+02
1.201090621948242188e+02,1.362522583007812500e+02
1.180289077758789062e+02,1.352781982421875000e+02
1.260894393920898438e+02,1.344601287841796875e+02
1.124012069702148438e+02,1.348723144531250000e+02
1.274689331054687500e+02,1.397849884033203125e+02
1.209598159790039062e+02,1.374485473632812500e+02
1.212135620117187500e+02,1.370372772216796875e+02
1.194691162109375000e+02,1.382473907470703125e+02
1.207225723266601562e+02,1.355347290039062500e+02
1.283788757324218750e+02,1.373720703125000000e+02
1.254548034667968750e+02,1.378489227294921875e+02
1.199169998168945312e+02,1.375087585449218750e+02
1.165122299194335938e+02,1.356509399414062500e+02
1.265871963500976562e+02,1.382951660156250000e+02
1.242887954711914062e+02,1.395330200195312500e+02
1.240000915527343750e+02,1.378142700195312500e+02
1.199516525268554688e+02,1.355865478515625000e+02
1.164394149780273438e+02,1.375599975585937500e+02
1.161646118164062500e+02,1.380229187011718750e+02
1.119762573242187500e+02,1.397856292724609375e+02
7.511032867431640625e+01,1.016910095214843750e+02
1.198459854125976562e+02,1.359320220947265625e+02
1.179652709960937500e+02,1.363974609375000000e+02
1.168791809082031250e+02,1.331114807128906250e+02
1.267089309692382812e+02,1.381595764160156250e+02
1.249457397460937500e+02,1.382382202148437500e+02
1.275274887084960938e+02,1.389382171630859375e+02
1.208004379272460938e+02,1.362071838378906250e+02
1.188997726440429688e+02,1.368254699707031250e+02
1.249816665649414062e+02,1.364655456542968750e+02
1.257610092163085938e+02,1.376883239746093750e+02
1.170578689575195312e+02,1.331723327636718750e+02
1.197602920532226562e+02,1.338327026367187500e+02
1.171903686523437500e+02,1.341331787109375000e+02
1.275302352905273438e+02,1.336122131347656250e+02
1.179505233764648438e+02,1.335498809814453125e+02
1.155742568969726562e+02,1.358655395507812500e+02
1.162772903442382812e+02,1.377978210449218750e+02
6.824096679687500000e+01,9.998587036132812500e+01
1.018380508422851562e+02,1.241868591308593750e+02
4.301928710937500000e+01,1.333117065429687500e+02
4.658140182495117188e+01,1.284252929687500000e+02
3.985509872436523438e+01,1.167873992919921875e+02
3.919441223144531250e+01,1.208653106689453125e+02
5.430555725097656250e+01,1.176933898925781250e+02
4.478712463378906250e+01,1.256262512207031250e+02
3.798365783691406250e+01,1.163823089599609375e+02
4.794424438476562500e+01,1.264464111328125000e+02
4.074551010131835938e+01,1.181993560791015625e+02
7.237254333496093750e+01,1.377686004638671875e+02
5.161771011352539062e+01,1.251478424072265625e+02
6.501213836669921875e+01,1.356050109863281250e+02
4.666356277465820312e+01,1.215200576782226562e+02
4.381149291992187500e+01,1.162812576293945312e+02
8.345259857177734375e+01,1.376566162109375000e+02
6.264920425415039062e+01,1.266268157958984375e+02
9.003293609619140625e+01,1.415638427734375000e+02
5.297761917114257812e+01,1.222580642700195312e+02
5.289535522460937500e+01,1.214649658203125000e+02
6.143760299682617188e+01,1.386799926757812500e+02
5.759677124023437500e+01,1.362870025634765625e+02
5.951800537109375000e+01,1.391943664550781250e+02
5.994406127929687500e+01,1.382678833007812500e+02
3.896298217773437500e+01,1.129654693603515625e+02
6.571656799316406250e+01,1.365185546875000000e+02
4.690736770629882812e+01,1.213458023071289062e+02
4.546688461303710938e+01,1.209125823974609375e+02
5.689025878906250000e+01,1.302024230957031250e+02
5.544509887695312500e+01,1.223702163696289062e+02
7.229709625244140625e+01,1.391180114746093750e+02
6.795938110351562500e+01,1.359075012207031250e+02
6.825502777099609375e+01,1.369374389648437500e+02
6.636124420166015625e+01,1.423401336669921875e+02
6.970250701904296875e+01,1.388580017089843750e+02
6.593397521972656250e+01,1.364105834960937500e+02
4.477233505249023438e+01,1.273127593994140625e+02
7.630597686767578125e+01,1.390081634521484375e+02
5.453553390502929688e+01,1.249467163085937500e+02
5.627233886718750000e+01,1.220235443115234375e+02
6.494646453857421875e+01,1.253576278686523438e+02
2.837650299072265625e+01,8.073828125000000000e+01
4.377525711059570312e+01,8.789641571044921875e+01
4.056847763061523438e+01,9.246193695068359375e+01
3.731380462646484375e+01,7.928199768066406250e+01
3.156766700744628906e+01,7.669269561767578125e+01
3.421366500854492188e+01,7.470383453369140625e+01
4.244081878662109375e+01,8.932607269287109375e+01
3.141226196289062500e+01,7.524928283691406250e+01
3.991043472290039062e+01,8.132748413085937500e+01
2.493714904785156250e+01,7.074665832519531250e+01
3.104343223571777344e+01,7.507747650146484375e+01
3.802060317993164062e+01,7.860829162597656250e+01
3.839712905883789062e+01,8.038127899169921875e+01
3.196646118164062500e+01,7.037875366210937500e+01
4.060405731201171875e+01,7.761579895019531250e+01
3.762286758422851562e+01,7.843750000000000000e+01
4.510072326660156250e+01,8.378175354003906250e+01
3.127306175231933594e+01,6.823013305664062500e+01
