ecoli,saureus
8.385541534423828125e+01,1.079435272216796875e+02
9.362992095947265625e+01,1.223647918701171875e+02
8.504689025878906250e+01,1.106590118408203125e+02
6.567855072021484375e+01,1.064904479980468750e+02
8.244325256347656250e+01,1.080192337036132812e+02
7.408629608154296875e+01,1.027683334350585938e+02
8.568111419677734375e+01,1.097426910400390625e+02
7.582571411132812500e+01,1.040908203125000000e+02
7.285701751708984375e+01,1.013331604003906250e+02
9.051232147216796875e+01,1.211192474365234375e+02
8.141796112060546875e+01,1.079538116455078125e+02
6.683067321777343750e+01,1.071941528320312500e+02
6.251397705078125000e+01,9.750738525390625000e+01
6.139066696166992188e+01,9.407615661621093750e+01
8.475661468505859375e+01,1.081314926147460938e+02
5.642813110351562500e+01,9.221031188964843750e+01
6.698779296875000000e+01,9.605244445800781250e+01
4.656071472167968750e+01,8.895402526855468750e+01
5.433423995971679688e+01,9.018882751464843750e+01
8.424118041992187500e+01,1.060626983642578125e+02
8.416812896728515625e+01,1.058641510009765625e+02
9.587722778320312500e+01,1.080138702392578125e+02
1.059076309204101562e+02,1.188707199096679688e+02
7.063644409179687500e+01,1.024930419921875000e+02
7.017710113525390625e+01,1.026694183349609375e+02
9.752703094482421875e+01,1.144126281738281250e+02
7.009880065917968750e+01,1.020936889648437500e+02
9.789791107177734375e+01,1.141612701416015625e+02
5.251806259155273438e+01,9.165065002441406250e+01
5.795949172973632812e+01,9.544763183593750000e+01
8.817618560791015625e+01,1.090611648559570312e+02
6.425973510742187500e+01,9.956219482421875000e+01
8.519274902343750000e+01,1.104075164794921875e+02
9.498032379150390625e+01,1.082049560546875000e+02
1.074008255004882812e+02,1.177990722656250000e+02
6.932587432861328125e+01,1.000101776123046875e+02
3.016044044494628906e+01,7.974813079833984375e+01
3.643469238281250000e+01,9.733911895751953125e+01
7.043533325195312500e+01,1.139343566894531250e+02
4.296030807495117188e+01,8.905148315429687500e+01
4.215369796752929688e+01,8.994926452636718750e+01
4.208533096313476562e+01,8.486048889160156250e+01
3.273754501342773438e+01,7.796861267089843750e+01
6.755283355712890625e+01,1.015675811767578125e+02
6.670478820800781250e+01,1.044545516967773438e+02
7.200240325927734375e+01,1.072556991577148438e+02
5.568883895874023438e+01,9.456100463867187500e+01
6.689163208007812500e+01,1.013776702880859375e+02
5.223131179809570312e+01,9.939891052246093750e+01
3.213384628295898438e+01,7.736719512939453125e+01
4.479405212402343750e+01,8.797894287109375000e+01
6.639937591552734375e+01,1.124538421630859375e+02
6.974259948730468750e+01,1.060023651123046875e+02
5.591770935058593750e+01,9.946925354003906250e+01
7.740056610107421875e+01,1.084668884277343750e+02
4.333158493041992188e+01,9.426071166992187500e+01
5.282237625122070312e+01,9.644190979003906250e+01
4.885111618041992188e+01,1.052416000366210938e+02
4.758423995971679688e+01,9.526144409179687500e+01
