ecoli,saureus
7.956253814697265625e+01,1.053484954833984375e+02
1.043452529907226562e+02,1.283933105468750000e+02
9.230999755859375000e+01,1.397150268554687500e+02
5.514376449584960938e+01,1.048709182739257812e+02
1.350447387695312500e+02,1.336192016601562500e+02
1.123250503540039062e+02,1.406581573486328125e+02
3.735894393920898438e+01,8.673547363281250000e+01
1.263506088256835938e+02,1.079411468505859375e+02
9.703902435302734375e+01,9.064655303955078125e+01
1.087708129882812500e+02,1.355657043457031250e+02
1.620356178283691406e+01,3.309161376953125000e+01
1.124087142944335938e+02,1.280475311279296875e+02
8.440911865234375000e+01,1.033939208984375000e+02
1.176093750000000000e+02,1.280080566406250000e+02
1.012972488403320312e+02,1.280705871582031250e+02
5.627043151855468750e+01,3.770517349243164062e+01
9.412094116210937500e+01,1.247499923706054688e+02
1.209114990234375000e+02,1.264002227783203125e+02
7.718900299072265625e+01,1.098624038696289062e+02
1.389403228759765625e+02,1.394133911132812500e+02
1.144344253540039062e+02,1.414165802001953125e+02
1.296328887939453125e+02,1.254867248535156250e+02
1.222047042846679688e+02,1.500558471679687500e+02
1.215362167358398438e+02,1.031384582519531250e+02
4.454507446289062500e+01,9.847253417968750000e+01
5.020924377441406250e+01,8.718035125732421875e+01
1.193743286132812500e+02,1.364534912109375000e+02
1.117761001586914062e+02,1.301348571777343750e+02
1.170622177124023438e+02,1.302104187011718750e+02
1.115525741577148438e+02,1.298386077880859375e+02
6.067768478393554688e+01,6.747868347167968750e+01
1.443903503417968750e+02,1.404238281250000000e+02
1.283277435302734375e+02,1.353791198730468750e+02
1.314995574951171875e+02,1.317419128417968750e+02
1.627146339416503906e+01,3.364026641845703125e+01
1.176484680175781250e+02,1.317452850341796875e+02
1.195959701538085938e+02,1.339534301757812500e+02
2.287687873840332031e+01,2.660749435424804688e+01
6.622375488281250000e+01,1.235463790893554688e+02
1.001820449829101562e+02,1.246475524902343750e+02
1.291536254882812500e+02,1.368430480957031250e+02
1.227569961547851562e+02,1.344550170898437500e+02
1.237398071289062500e+02,1.380879821777343750e+02
9.566463470458984375e+01,1.202276458740234375e+02
1.275888977050781250e+02,1.415076446533203125e+02
9.004998779296875000e+01,1.047897949218750000e+02
1.051031112670898438e+02,1.274683227539062500e+02
5.017201614379882812e+01,1.196744232177734375e+02
1.191541976928710938e+02,1.281538848876953125e+02
1.324697418212890625e+02,1.296444091796875000e+02
1.309992675781250000e+02,1.385226135253906250e+02
1.202798690795898438e+02,1.243822631835937500e+02
1.373129577636718750e+02,1.371651000976562500e+02
1.205467758178710938e+02,1.328584136962890625e+02
1.165026016235351562e+02,1.280650177001953125e+02
1.170669326782226562e+02,1.268740997314453125e+02
9.876248931884765625e+01,8.964799499511718750e+01
1.154378738403320312e+02,1.279196319580078125e+02
1.118197631835937500e+02,1.287981414794921875e+02
1.240240859985351562e+02,1.297266387939453125e+02
1.410793609619140625e+02,1.370328063964843750e+02
7.382485961914062500e+01,1.284762115478515625e+02
1.185943832397460938e+02,1.256790618896484375e+02
7.317581939697265625e+01,1.114564590454101562e+02
1.162379989624023438e+02,1.337283630371093750e+02
4.069790649414062500e+01,1.337797698974609375e+02
1.341490936279296875e+02,1.420533294677734375e+02
1.146427612304687500e+02,1.344555969238281250e+02
5.879463195800781250e+01,9.125886535644531250e+01
1.745890998840332031e+01,5.451325988769531250e+01
6.961358642578125000e+01,1.018908920288085938e+02
