ecoli,saureus
2.392404747009277344e+01,1.235294647216796875e+02
1.183662719726562500e+02,1.282008056640625000e+02
9.123490142822265625e+01,1.162918395996093750e+02
4.917068481445312500e+01,9.741741943359375000e+01
2.216346168518066406e+01,5.592716979980468750e+01
9.473386383056640625e+01,1.024186553955078125e+02
8.418151092529296875e+01,1.127233886718750000e+02
5.253466796875000000e+01,9.368192291259765625e+01
3.303769683837890625e+01,6.424726867675781250e+01
5.118643188476562500e+01,6.554537963867187500e+01
1.080872116088867188e+02,1.198545227050781250e+02
1.040740966796875000e+02,1.068062286376953125e+02
7.087693023681640625e+01,7.342208099365234375e+01
2.563760185241699219e+01,3.434418487548828125e+01
4.588729858398437500e+01,6.832338714599609375e+01
5.963905715942382812e+01,9.960069274902343750e+01
4.119876861572265625e+01,7.741020202636718750e+01
4.956106948852539062e+01,9.874853515625000000e+01
6.256342411041259766e+00,6.850738525390625000e+00
2.248789405822753906e+01,8.476115417480468750e+01
2.156823730468750000e+01,6.951968383789062500e+01
3.290569686889648438e+01,6.894236755371093750e+01
1.236014022827148438e+02,1.319213256835937500e+02
1.275250244140625000e+02,1.315635833740234375e+02
1.303969268798828125e+02,1.359373779296875000e+02
4.308304214477539062e+01,8.997291564941406250e+01
2.478526496887207031e+01,4.835261535644531250e+01
4.725663375854492188e+01,9.640895080566406250e+01
1.393817901611328125e+02,1.385538635253906250e+02
1.185954589843750000e+02,1.296383972167968750e+02
1.509002971649169922e+01,3.911022186279296875e+01
8.096301269531250000e+01,9.551730346679687500e+01
1.822788238525390625e+01,7.268695068359375000e+01
1.023655929565429688e+02,1.102672882080078125e+02
9.757534790039062500e+01,1.194765930175781250e+02
3.892680358886718750e+01,8.594891357421875000e+01
5.308104324340820312e+01,6.716565704345703125e+01
6.916826629638671875e+01,9.943704986572265625e+01
6.355744552612304688e+01,8.146308898925781250e+01
3.318121719360351562e+01,7.171485900878906250e+01
3.147290611267089844e+01,1.476965427398681641e+01
7.190832519531250000e+01,9.637413787841796875e+01
1.258916397094726562e+02,1.349963073730468750e+02
1.070089950561523438e+02,1.023153762817382812e+02
1.138810424804687500e+02,1.296655731201171875e+02
7.354714202880859375e+01,9.280042266845703125e+01
4.069386672973632812e+01,6.339096450805664062e+01
5.922242355346679688e+01,1.294580993652343750e+02
4.993371582031250000e+01,7.664030456542968750e+01
6.279591751098632812e+01,4.200875854492187500e+01
1.317727508544921875e+02,1.340469665527343750e+02
1.413822078704833984e+01,5.313174438476562500e+01
9.229694366455078125e+01,1.070509872436523438e+02
3.749713516235351562e+01,7.154141235351562500e+01
9.633325195312500000e+01,1.246885986328125000e+02
4.552811813354492188e+01,1.042824630737304688e+02
1.254134292602539062e+02,1.366463470458984375e+02
7.259632110595703125e+01,8.161616516113281250e+01
1.307337951660156250e+01,4.439829254150390625e+01
5.491630554199218750e+01,9.037170410156250000e+01
2.918451118469238281e+01,5.474529266357421875e+01
3.109327888488769531e+01,6.586317443847656250e+01
6.439640045166015625e+01,7.989044189453125000e+01
8.016888427734375000e+01,1.183820343017578125e+02
6.751728820800781250e+01,1.207621994018554688e+02
1.344481506347656250e+02,1.339803314208984375e+02
2.554806518554687500e+01,7.589833068847656250e+01
9.046195030212402344e+00,1.185582351684570312e+01
1.230089797973632812e+02,1.459375305175781250e+02
4.880088424682617188e+01,6.346920776367187500e+01
2.435960960388183594e+01,7.030490112304687500e+01
1.186507701873779297e+01,3.933814620971679688e+01
4.556687545776367188e+01,1.248571319580078125e+02
6.473007965087890625e+01,1.259347381591796875e+02
3.385216903686523438e+01,7.512547302246093750e+01
8.396796417236328125e+01,1.037122650146484375e+02
8.010317230224609375e+01,1.005455627441406250e+02
4.884324645996093750e+01,1.330653686523437500e+02
3.163884925842285156e+01,6.117730712890625000e+01
9.461038970947265625e+01,1.374300842285156250e+02
1.522368621826171875e+01,4.089357757568359375e+01
1.372851104736328125e+02,1.392393493652343750e+02
2.064768791198730469e+01,7.503253936767578125e+01
5.562574386596679688e+01,7.896363830566406250e+01
1.077637405395507812e+02,1.251389465332031250e+02
4.025904083251953125e+01,3.627806854248046875e+01
1.761936569213867188e+01,2.123510932922363281e+01
1.590041637420654297e+01,2.790131759643554688e+01
1.745783424377441406e+01,3.443955230712890625e+01
1.171088256835937500e+02,1.249071197509765625e+02
1.319379425048828125e+02,1.336439361572265625e+02
5.774116897583007812e+01,1.229093246459960938e+02
9.282845497131347656e+00,5.477490234375000000e+01
7.335346221923828125e+01,9.272034454345703125e+01
1.397947082519531250e+02,1.411891479492187500e+02
3.336878585815429688e+01,1.057865753173828125e+02
1.088198852539062500e+02,1.256447601318359375e+02
2.598873901367187500e+01,7.954013824462890625e+01
1.378705139160156250e+02,1.375473022460937500e+02
1.047465896606445312e+01,4.152413940429687500e+01
2.406852722167968750e+01,8.671559906005859375e+01
4.182631301879882812e+01,4.987178421020507812e+01
5.855318832397460938e+01,1.292251434326171875e+02
1.035721511840820312e+02,1.484140930175781250e+02
5.150721740722656250e+01,1.220306701660156250e+02
5.454951477050781250e+01,1.305544738769531250e+02
2.284784698486328125e+01,3.559091949462890625e+01
1.340578155517578125e+02,1.350620880126953125e+02
9.429342651367187500e+01,1.254557113647460938e+02
9.174909210205078125e+01,1.172692260742187500e+02
4.410166549682617188e+01,6.579430389404296875e+01
4.114470291137695312e+01,1.120278549194335938e+02
2.983522033691406250e+01,8.282809448242187500e+01
1.188239974975585938e+02,1.203841400146484375e+02
1.907947349548339844e+01,5.093717193603515625e+01
9.105471611022949219e+00,4.747962188720703125e+01
2.855795288085937500e+01,1.016775588989257812e+02
2.124025917053222656e+01,3.988333892822265625e+01
1.131195602416992188e+02,1.230582504272460938e+02
6.605865478515625000e+01,1.228850097656250000e+02
8.122689819335937500e+01,9.130258178710937500e+01
8.077818298339843750e+01,1.018830108642578125e+02
1.147879257202148438e+02,1.195839691162109375e+02
9.241857910156250000e+01,8.658967590332031250e+01
6.413012695312500000e+01,9.070687866210937500e+01
7.497438812255859375e+01,1.168656921386718750e+02
2.322550010681152344e+01,4.645041275024414062e+01
1.406821441650390625e+02,1.400788879394531250e+02
6.146702575683593750e+01,1.220592346191406250e+02
4.440042495727539062e+00,4.697346496582031250e+01
7.647705841064453125e+01,1.160379028320312500e+02
1.189774703979492188e+02,1.311585235595703125e+02
6.814627838134765625e+01,9.556405639648437500e+01
1.181888427734375000e+02,1.308448791503906250e+02
8.942526245117187500e+01,1.281450195312500000e+02
6.953688049316406250e+01,1.184333343505859375e+02
9.456018066406250000e+01,9.332054138183593750e+01
6.626786041259765625e+01,8.679032135009765625e+01
6.499578094482421875e+01,9.811421203613281250e+01
3.146721076965332031e+01,5.694265365600585938e+01
3.270496749877929688e+01,8.674443054199218750e+01
6.805146026611328125e+01,1.178041915893554688e+02
3.766490173339843750e+01,9.914192199707031250e+01
2.067799949645996094e+01,5.565085601806640625e+01
5.709193801879882812e+01,8.463023376464843750e+01
4.483219528198242188e+01,7.395449829101562500e+01
2.279529571533203125e+01,3.999072265625000000e+01
6.350228500366210938e+01,1.070568847656250000e+02
5.016260910034179688e+01,6.782852172851562500e+01
1.331425781250000000e+02,1.390885009765625000e+02
